#{"t_start": 1764136897.55839, "env_id": "merge-v0"}
r,l,t
6.279333,7,29.114532
11.058877,14,29.244697
4.210213,5,29.287247
3.382123,4,29.358504
5.217793,6,29.41781
7.23939,8,29.485027
6.845918,8,29.555086
6.904881,8,29.620572
6.183835,7,29.683147
7.211613,8,29.749116
5.209435,6,29.795844
5.043557,6,29.848351
3.380339,4,29.881993
7.267168,8,29.947328
7.267168,8,30.013675
4.319963,5,30.049777
7.267168,8,30.113923
6.872409,8,30.185003
11.666667,12,30.282842
6.01386,7,30.337872
10.500986,12,30.435602
10.500986,12,30.53417
12.197386,14,30.662945
10.528764,12,30.759791
7.128279,8,30.825929
6.111216,7,30.885382
11.146709,12,30.990492
6.237991,7,31.0536
12.134001,13,31.154489
14.606234,17,31.301195
6.332149,8,31.37425
12.384012,14,31.488609
4.210213,5,31.530791
10.52649,12,31.63642
11.091153,12,31.741544
5.711613,7,31.800417
5.818148,7,31.856991
7.040371,8,31.922412
5.935894,7,31.979793
11.202264,12,32.084341
4.219721,5,32.122633
11.638889,12,32.221208
6.111648,7,32.281705
7.208301,8,32.346142
7.036894,8,32.407844
7.036894,8,32.471941
8.62694,10,32.5487
7.267168,8,32.612419
6.24145,7,32.666855
11.694444,12,32.764085
4.29879,5,32.810581
11.074492,12,32.918966
4.146217,5,32.960385
4.201726,5,33.004165
11.000986,13,33.111802
11.75,12,33.207449
10.470934,12,33.309336
4.249538,5,33.357327
10.443157,12,33.455254
11.018936,12,33.563021
6.163721,7,33.623678
7.183835,8,33.690687
7.072724,8,33.758302
7.267168,8,33.82178
8.159519,10,33.905945
11.0637,12,34.015006
3.382123,4,34.049583
7.267168,8,34.115636
11.694444,12,34.214547
11.202264,12,34.320416
11.202264,12,34.42801
3.331454,4,34.462349
7.267168,8,34.527273
10.352655,12,34.637534
12.78923,14,34.747869
11.118931,12,34.855803
6.194982,7,34.915534
4.380339,5,34.955634
7.267168,8,35.022608
4.363553,5,35.063615
3.303676,4,35.098393
5.275128,6,35.145735
11.548388,12,35.243421
10.380433,12,35.345093
6.090098,7,35.404123
4.090662,5,35.446778
3.422222,4,35.483815
11.202264,12,35.590781
7.267168,8,35.657513
11.648383,12,35.754578
6.194616,7,35.815223
3.422222,4,35.849727
4.071325,5,35.886466
3.380339,4,35.921842
10.238375,12,36.020846
10.0945,12,36.128233
4.222314,5,36.172874
5.131183,6,36.22089
7.152748,8,36.284744
11.174487,12,36.392602
