#{"t_start": 1764373449.274129, "env_id": "merge-v0"}
r,l,t
4.154658,5,26.240539
3.318148,4,26.274933
4.163721,5,26.31848
7.413873,9,26.39384
8.824573,11,26.483716
4.29879,5,26.522822
6.238964,7,26.584932
11.222224,12,26.685385
5.836156,7,26.745094
3.955654,5,26.787737
12.605273,15,26.908724
5.854346,7,26.968363
8.929183,10,27.050395
6.322296,7,27.109655
7.008465,8,27.178255
7.26386,8,27.24067
7.544919,9,27.308349
5.043516,6,27.359601
5.256764,6,27.405794
8.097625,9,27.476766
4.986082,6,27.528037
7.562593,9,27.601609
4.29879,5,27.646307
6.156057,7,27.703429
11.278034,15,27.82193
7.062952,8,27.887977
5.034542,6,27.94266
10.750986,12,28.043966
7.267168,8,28.110045
8.585753,10,28.184692
10.778765,12,28.285652
6.872409,8,28.356194
6.956925,8,28.419493
7.23939,8,28.484369
4.205654,5,28.521424
5.933835,7,28.578376
6.100179,7,28.633359
5.23939,6,28.685804
4.146217,5,28.727462
5.154658,6,28.77389
8.187034,10,28.863376
6.241908,7,28.924058
4.11555,5,28.966795
4.189341,5,29.00816
6.056999,7,29.070154
4.199621,5,29.114947
10.665379,12,29.220804
7.606922,9,29.302722
4.194549,5,29.343459
3.271012,4,29.375925
3.29037,4,29.405066
13.502014,15,29.524879
7.267168,8,29.589136
6.167201,7,29.644312
11.128425,12,29.748067
7.267168,8,29.812032
11.639551,13,29.927463
7.524831,9,30.003416
10.498712,12,30.105837
3.144444,4,30.134986
11.416667,12,30.237674
6.040258,7,30.299
5.672681,7,30.357617
6.917204,8,30.419546
6.717686,8,30.488775
6.194982,7,30.552136
6.247054,7,30.613272
10.332046,12,30.711892
7.763736,9,30.776319
6.083333,7,30.876008
13.595118,15,30.998883
6.856575,8,31.070013
11.833333,12,31.163177
10.232375,12,31.265734
13.916724,15,31.395919
6.299172,7,31.455838
4.912238,6,31.510587
12.725157,15,31.632446
3.401481,4,31.666588
7.123589,8,31.730622
5.242679,6,31.777915
6.125973,7,31.839623
4.209056,5,31.881101
5.190015,6,31.928205
8.663653,10,32.008445
7.062952,8,32.077556
11.139875,13,32.192401
6.909328,8,32.260429
6.85611,8,32.330692
3.352561,4,32.365966
12.918633,14,32.475726
7.150098,8,32.547046
5.238134,6,32.592868
6.049191,7,32.650674
11.063375,12,32.754255
7.267168,8,32.819669
10.669141,12,32.924696
10.345437,12,33.022745
6.294518,7,33.085321
6.244518,7,33.14572
8.613531,10,33.2225
5.32695,6,33.268188
13.356234,15,33.383384
10.415379,12,33.485958
10.896718,12,33.586348
14.89118,17,33.741592
6.757396,8,33.807113
12.107218,14,33.929005
6.90261,8,33.988191
13.578457,15,34.115116
11.158102,12,34.223687
4.952277,6,34.279755
11.132717,14,34.395363
13.300677,15,34.522311
13.972289,16,34.664025
11.76927,13,34.780584
7.257396,8,34.845926
6.899188,8,34.919937
5.913721,7,34.976965
7.146285,8,35.042707
11.694444,12,35.138818
6.99709,8,35.204376
6.198019,7,35.265676
7.233431,8,35.328941
11.388889,12,35.427374
6.791966,8,35.495957
7.211613,8,35.560582
6.181528,7,35.620023
5.604012,7,35.675134
11.416667,12,35.774446
3.958304,5,35.815375
7.801061,9,35.881821
4.373704,5,35.919872
11.174487,12,36.026694
6.300074,7,36.086827
7.80106,9,36.153082
3.969573,5,36.19729
6.125202,7,36.258842
3.895176,5,36.297946
6.906057,8,36.361391
6.913069,8,36.43344
4.219573,5,36.472318
7.150098,8,36.539561
7.022003,8,36.604234
10.609823,12,36.705658
3.380339,4,36.740584
4.23939,5,36.785684
4.160322,5,36.828815
6.267168,7,36.888458
15.022901,17,37.037683
6.248457,7,37.101319
6.98939,8,37.164981
11.202264,12,37.272531
4.347945,5,37.313177
7.257396,8,37.379886
6.248121,7,37.434164
6.095926,7,37.487824
10.204924,12,37.587066
14.300679,17,37.740595
12.641832,15,37.860667
3.354346,4,37.895093
3.388889,4,37.932115
6.272296,7,37.991109
5.975045,7,38.0507
6.999538,8,38.115816
6.615591,8,38.186833
13.076783,16,38.314368
13.816951,15,38.438193
5.258593,6,38.484451
7.003173,8,38.550651
5.182436,6,38.59723
11.888889,12,38.689911
4.29037,5,38.725519
4.292389,5,38.766816
3.248121,4,38.802017
11.174487,12,38.907707
15.189568,17,39.053266
15.189568,17,39.2164
13.453949,15,39.344579
3.380339,4,39.378467
6.258191,7,39.438806
5.265912,6,39.484539
5.206925,6,39.537378
4.401481,5,39.580318
5.247054,6,39.628277
6.232197,7,39.689309
6.157527,7,39.751428
6.838197,8,39.821187
11.666667,12,39.922176
7.229618,8,39.992912
10.730559,13,40.10248
12.884012,14,40.207992
6.801123,8,40.2761
4.921844,6,40.330104
4.364056,5,40.368236
7.257396,8,40.43677
5.237991,6,40.488916
10.528764,12,40.589049
11.361111,12,40.690978
7.257396,8,40.757784
7.267168,8,40.82593
6.631188,8,40.898023
5.917293,7,40.949953
6.111283,7,41.013718
4.154658,5,41.060093
4.225167,5,41.100822
6.083505,7,41.161477
3.252945,4,41.19669
7.211613,8,41.264659
10.415379,12,41.370902
11.94105,16,41.491279
11.155492,15,41.634629
6.167204,7,41.700656
6.960213,8,41.767085
4.840098,6,41.821052
12.678117,14,41.964316
5.179147,6,42.024384
11.174487,12,42.157263
10.720934,12,42.261356
11.285607,12,42.366005
12.226099,16,42.516196
12.249695,16,42.638237
14.66179,17,42.785914
5.261209,6,42.836138
11.174487,12,42.948792
6.276234,7,43.012813
6.139426,7,43.07367
6.084777,7,43.135596
6.912285,8,43.201766
7.257396,8,43.268952
7.257396,8,43.33717
7.257396,8,43.406186
6.892539,8,43.517626
8.820382,11,43.613647
6.229618,7,43.676546
5.319963,6,43.726019
6.125351,7,43.788044
7.263857,8,43.853164
6.23939,7,43.914851
3.401481,4,43.950683
5.333438,6,43.998573
10.27649,12,44.103035
11.287273,12,44.212017
12.447388,15,44.338145
15.307847,17,44.509882
6.269228,7,44.573363
3.347945,4,44.607773
3.347945,4,44.641895
10.693157,12,44.743706
11.694444,12,44.84048
11.202264,12,44.946428
10.720934,12,45.0479
7.099102,8,45.11277
7.267168,8,45.181649
6.933835,8,45.266351
7.156057,8,45.334856
10.498712,12,45.466553
7.257396,8,45.536351
4.249538,5,45.583678
6.838991,8,45.653598
7.267168,8,45.718927
11.694444,12,45.815642
3.347945,4,45.850393
11.7519,12,45.946679
8.413045,10,46.028288
4.262593,5,46.069827
5.080387,6,46.117203
4.252442,5,46.156441
6.864667,8,46.221109
11.146709,12,46.329409
7.267168,8,46.395723
11.202264,12,46.501268
7.267168,8,46.567318
4.422222,5,46.606756
6.970975,8,46.67994
11.694444,12,46.778122
4.303676,5,46.819397
10.304268,12,46.924085
6.139426,7,46.986751
10.27649,12,47.091965
10.167653,12,47.19221
10.306541,12,47.292891
11.146709,12,47.401332
11.694444,12,47.499583
6.96197,8,47.577349
4.326568,5,47.616829
7.23939,8,47.682998
6.96197,8,47.757756
7.156057,8,47.828428
14.828457,17,48.06256
10.794373,15,48.184396
9.901482,11,48.275756
6.300074,7,48.342291
6.033333,7,48.41106
11.202264,12,48.520578
10.52649,12,48.629318
7.483215,9,48.769901
7.07839,8,48.839374
6.249538,7,48.907414
7.229618,8,48.977335
10.893206,14,49.094957
10.44543,12,49.199841
7.049781,8,49.314882
8.62694,10,49.405672
6.265912,7,49.469267
7.063591,8,49.537076
5.217793,6,49.585753
11.861111,12,49.691024
5.12688,6,49.739651
3.380339,4,49.777688
6.975607,8,49.853251
7.785863,9,49.921435
11.25782,12,50.031523
11.694444,12,50.136646
7.030224,8,50.204536
10.500986,12,50.307182
5.247191,6,50.355103
4.123695,5,50.402652
4.209435,5,50.448714
4.176639,5,50.493881
10.498712,12,50.604072
7.183835,8,50.671718
7.646814,9,50.755936
4.315049,5,50.794858
7.128279,8,50.863449
6.961613,8,50.931208
5.816765,7,50.993872
7.229618,8,51.061571
7.07839,8,51.125806
11.148331,12,51.237792
3.319963,4,51.282264
14.967346,17,51.462779
10.52649,12,51.563345
3.401481,4,51.598415
6.056999,7,51.659218
5.080387,6,51.707705
11.5,12,51.809713
6.230413,7,51.875606
7.267168,8,51.942611
3.307453,4,51.978335
3.364056,4,52.013129
3.347945,4,52.048763
11.174487,12,52.154854
7.856232,9,52.220475
8.592226,10,52.294336
6.249538,7,52.354922
7.10483,8,52.426455
3.363553,4,52.462232
6.975396,8,52.528836
10.554268,12,52.636262
11.666667,12,52.733673
10.806541,12,52.835584
5.292401,6,52.881516
5.173995,6,52.932542
4.422222,5,52.971879
10.584319,12,53.074051
13.633957,15,53.195254
5.270885,6,53.24142
10.59699,12,53.345071
12.312102,16,53.492721
9.308031,11,53.584337
7.267168,8,53.654454
5.22176,6,53.705212
7.801975,9,53.776125
10.44543,12,53.879821
5.269228,6,53.932054
10.952266,12,54.037683
6.090098,7,54.103071
10.720934,12,54.210641
7.07839,8,54.278474
6.084777,7,54.342633
4.145653,5,54.379871
10.667653,12,54.485274
10.609823,12,54.614484
5.104766,6,54.669503
11.722222,12,54.764186
6.956507,8,54.827889
7.26386,8,54.893196
11.202264,12,55.002218
10.584319,12,55.109746
13.884004,15,55.234065
8.62694,10,55.314732
5.171285,6,55.36298
4.071325,5,55.405167
11.411398,12,55.505722
8.125511,9,55.579073
4.920094,6,55.632066
11.118931,12,55.736167
11.25782,12,55.843716
11.722222,12,55.944055
7.072724,8,56.009591
10.371217,12,56.113954
4.093306,5,56.158794
13.678119,15,56.29809
11.202264,12,56.417429
6.717686,8,56.48851
11.00782,12,56.586892
11.00782,12,56.691486
11.733616,12,56.791122
5.090662,6,56.840258
14.189568,16,56.984171
14.694779,16,57.123257
11.285598,12,57.232207
7.219721,8,57.295575
7.248121,8,57.358523
7.798903,9,57.428469
10.639875,12,57.527358
6.045361,7,57.587055
7.248121,8,57.650496
10.43854,12,57.756738
14.134012,17,57.910727
6.985978,8,57.974315
7.248121,8,58.044219
6.764145,8,58.115402
10.250612,12,58.21584
11.694444,12,58.311814
7.267168,8,58.377191
10.612097,12,58.475944
11.202264,12,58.582057
5.257396,6,58.628284
5.295848,6,58.677026
5.210213,6,58.725319
3.394444,4,58.759509
7.156057,8,58.823592
10.443157,12,58.922535
7.100501,8,58.99061
7.267168,8,59.057169
5.236625,6,59.105883
10.720934,12,59.213122
8.088437,9,59.286551
10.609823,12,59.387434
11.285598,12,59.499169
10.443157,12,59.600343
6.180906,7,59.662144
6.209306,7,59.724416
4.123704,5,59.768955
11.202264,12,59.872637
10.69543,12,59.974796
7.801975,9,60.045927
7.786703,9,60.12098
3.333438,4,60.156331
7.827591,9,60.223915
6.900951,8,60.286953
12.540404,14,60.403849
8.585753,10,60.483918
10.612097,12,60.584518
10.52649,12,60.68835
6.298855,7,60.752198
7.780234,9,60.82562
7.267168,8,60.892134
6.196,7,60.955378
11.146709,12,61.063754
10.528764,12,61.162796
11.174487,12,61.269127
6.05184,7,61.346574
10.639875,12,61.463383
11.694444,12,61.5634
6.162942,7,61.671887
11.202264,12,61.781457
7.267168,8,61.845724
6.906978,8,61.914825
3.398383,4,61.950149
12.512626,14,62.062187
15.289563,17,62.211375
12.790789,17,62.361343
7.870153,9,62.43494
8.579711,10,62.509708
3.319963,4,62.545867
7.049781,8,62.608157
6.219573,7,62.677044
11.389885,13,62.789104
7.23939,8,62.855616
10.470934,12,62.95794
6.878279,8,63.029045
5.918564,7,63.092769
7.063591,8,63.159
11.96695,17,63.288573
15.106234,17,63.437851
14.067063,16,63.572941
10.498712,12,63.674544
6.932658,8,63.739571
7.267168,8,63.807244
6.275128,7,63.871662
7.267168,8,63.936262
7.267168,8,64.000907
10.667653,12,64.109365
7.156057,8,64.176188
4.919612,6,64.228328
7.100501,8,64.292145
10.750986,12,64.392845
5.135943,6,64.44441
7.211613,8,64.508723
6.107387,7,64.569235
5.236625,6,64.651853
7.211613,8,64.718795
10.669552,12,64.820701
7.024867,8,64.882222
7.219721,8,64.94763
10.52649,12,65.053712
4.363553,5,65.093825
7.128279,8,65.159365
11.666667,12,65.259014
11.305556,12,65.359615
11.174487,12,65.466723
11.614044,13,65.585587
12.020943,13,65.696795
6.084777,7,65.774048
7.050612,8,65.838452
4.182115,5,65.880235
6.866505,8,65.954109
12.815324,15,66.080434
7.752456,9,66.150627
6.258191,7,66.212147
10.304268,12,66.313778
11.455838,12,66.415784
7.267168,8,66.482187
7.177876,8,66.550062
5.090662,6,66.601072
6.210357,7,66.663219
10.69543,12,66.770505
11.000662,12,66.883235
11.000662,12,66.999646
6.904801,8,67.068509
7.205654,8,67.132983
10.582046,12,67.232696
7.050612,8,67.299748
7.267168,8,67.36424
7.07839,8,67.427241
7.07839,8,67.488037
7.248121,8,67.55585
7.292389,8,67.620547
8.620004,10,67.695723
14.668625,16,67.837482
4.169109,5,67.879659
7.267168,8,67.947621
9.789698,11,68.041463
11.285598,12,68.14871
4.249538,5,68.196402
11.23009,12,68.309498
4.110649,5,68.364264
7.23939,8,68.493623
8.634371,10,68.56801
6.745473,8,68.641147
10.456832,12,68.747859
3.295848,4,68.783678
8.592226,10,68.860977
4.210213,5,68.904349
5.190015,6,68.954875
7.220343,8,69.024431
7.201841,8,69.097599
11.555556,12,69.206987
6.757396,8,69.28148
6.691499,8,69.35193
12.550668,14,69.470579
10.731942,12,69.569647
8.634371,10,69.653431
6.248457,7,69.72112
4.171645,5,69.768371
3.333438,4,69.803671
7.627396,9,69.889031
3.285091,4,69.941026
6.298388,7,70.008617
5.96129,7,70.076671
6.933835,8,70.150872
7.229618,8,70.222561
6.242299,7,70.286693
7.07839,8,70.355036
3.382123,4,70.389921
11.174488,12,70.498087
6.914378,8,70.571485
11.202264,12,70.674607
11.202264,12,70.791146
6.162942,7,70.857843
6.300074,7,70.924834
7.856232,9,70.993539
6.716855,8,71.062201
5.792389,7,71.119816
8.515768,10,71.206691
6.197814,7,71.273986
7.024867,8,71.342511
10.836219,12,71.453752
7.229618,8,71.531786
13.745123,15,71.666183
6.21413,7,71.732687
13.522901,15,71.874191
10.556541,12,71.984195
7.024867,8,72.0593
11.174496,12,72.175525
6.583485,8,72.252339
12.00783,13,72.369733
6.135164,7,72.434357
7.201841,8,72.500782
7.07839,8,72.56546
3.380339,4,72.601465
7.292389,8,72.670157
4.201726,5,72.712809
3.364056,4,72.749553
7.036894,8,72.82402
7.211613,8,72.894594
10.582046,12,73.004124
