#{"t_start": 1764373019.9330518, "env_id": "merge-v0"}
r,l,t
13.634012,15,61.746096
12.190498,14,62.031865
3.243235,4,62.109798
4.382123,5,62.190963
13.078457,14,62.43493
6.162942,7,62.575543
4.422222,5,62.658252
5.237991,6,62.786743
6.3085,7,62.928017
5.335776,6,63.022572
6.279333,7,63.159505
4.364056,5,63.24085
11.41999,14,63.532689
13.745123,15,63.795429
15.245123,17,64.148202
4.171645,5,64.22945
3.422222,4,64.302267
5.257313,6,64.393972
7.010853,8,64.546725
5.969721,7,64.697062
7.23939,8,64.849308
6.968625,8,65.002506
6.943197,8,65.162763
7.85505,9,65.313562
3.088889,4,65.38569
3.993235,5,65.510845
3.818752,5,65.592695
8.252639,10,65.75779
13.856234,15,66.044788
6.194616,7,66.188067
6.225045,7,66.322663
7.267168,8,66.471553
6.259975,7,66.569439
8.00371,9,66.776116
6.173699,7,66.873821
13.078457,14,67.155862
13.772901,15,67.438527
3.382123,4,67.512129
13.800679,15,67.805889
5.228987,6,67.941982
3.401481,4,68.01886
7.250031,8,68.185108
4.033333,5,68.270596
10.250986,12,68.49905
5.734703,7,68.644121
6.663721,8,68.800372
5.701209,7,68.946955
13.772901,15,69.203262
4.183835,5,69.329033
12.10722,14,69.588261
7.250031,8,69.782311
4.237991,5,69.866291
4.331454,5,69.996662
4.364056,5,70.086048
4.316765,5,70.175223
6.278315,7,70.318428
7.133522,8,70.47033
6.904629,8,70.631644
4.364056,5,70.713344
3.422222,4,70.786624
4.249538,5,70.872227
4.363553,5,71.001921
8.642333,10,71.167131
12.52361,15,71.470192
13.800679,15,71.771983
8.634371,10,71.948106
7.837519,9,72.10581
14.41179,16,72.409298
12.71695,17,72.812505
13.828457,15,73.069553
4.422222,5,73.191341
11.41999,14,73.429377
6.116085,7,73.576499
4.303054,5,73.669236
5.295848,6,73.802266
13.856234,15,74.058757
9.947919,13,74.367362
13.856234,15,74.634097
13.66179,15,74.933445
13.66179,15,75.250258
13.772901,15,75.553883
12.355273,15,75.800897
6.222759,7,75.942552
7.250031,8,76.107401
13.050679,14,76.397085
12.605273,15,76.653008
12.633051,15,76.952652
4.444444,5,77.035214
12.216709,14,77.328069
13.328457,15,77.629018
13.911782,15,77.888939
12.494162,15,78.178734
11.41999,14,78.464044
6.265912,7,78.569769
13.717346,15,78.857555
12.967346,14,79.143023
3.366667,4,79.220658
5.111292,6,79.313451
5.191635,6,79.446692
13.800679,15,79.705368
11.392212,14,79.988182
13.078457,14,80.231669
14.578457,16,80.552606
4.235642,5,80.678679
11.91901,15,80.936132
15.189568,17,81.293946
12.661394,17,81.601322
7.841418,9,81.757672
8.642333,10,81.977646
4.176639,5,82.065529
11.916933,15,82.354156
3.401481,4,82.428646
3.422222,4,82.502267
4.247054,5,82.585935
13.078457,14,82.831461
6.213627,7,82.984825
4.210934,5,83.070794
4.347193,5,83.194951
4.206925,5,83.279384
10.882938,14,83.530567
13.078457,14,83.824226
13.078457,14,84.078084
7.925796,9,84.311319
14.41179,16,84.637087
12.549718,15,84.886624
12.549718,15,85.185603
12.633051,15,85.489893
4.380339,5,85.574224
11.41999,14,85.868304
13.078457,14,86.129703
12.218331,14,86.425873
13.856234,15,86.674161
10.936327,14,86.966473
11.41999,14,87.234478
12.218331,14,87.511286
4.382123,5,87.590376
